Date,Site ID,Latitude,Longitude,pm25,NDVI
2025-04-26,60870007,36.98332,-121.98822,1.3,6329.700069602292
2025-04-27,60870007,36.98332,-121.98822,3.2,6318.867841059386
2025-04-28,60870007,36.98332,-121.98822,5.0,6308.035612516479
2025-04-29,60870007,36.98332,-121.98822,6.6,6297.203383973572
2025-04-30,60870007,36.98332,-121.98822,5.3,6286.3711554306665
2025-05-01,60870007,36.98332,-121.98822,6.7,6275.53892688776
2025-05-02,60870007,36.98332,-121.98822,4.0,6264.706698344853
2025-05-03,60870007,36.98332,-121.98822,4.1,6253.874469801947
2025-05-04,60870007,36.98332,-121.98822,8.3,6243.042241259041
2025-05-05,60870007,36.98332,-121.98822,11.4,6232.210012716134
2025-05-06,60870007,36.98332,-121.98822,11.9,6221.377784173227
2025-05-07,60870007,36.98332,-121.98822,8.2,6210.54555563032
2025-05-08,60870007,36.98332,-121.98822,4.0,6199.713327087415
2025-05-09,60870007,36.98332,-121.98822,6.8,6188.881098544508
2025-05-10,60870007,36.98332,-121.98822,7.4,6151.106371563177
2025-05-11,60870007,36.98332,-121.98822,4.0,6113.331644581846
2025-05-12,60870007,36.98332,-121.98822,2.9,6075.556917600516
2025-05-13,60870007,36.98332,-121.98822,2.4,6037.782190619184
2025-05-14,60870007,36.98332,-121.98822,7.7,6000.007463637853
2025-05-15,60870007,36.98332,-121.98822,8.3,5962.232736656522
2025-05-16,60870007,36.98332,-121.98822,8.6,5924.4580096751915
2025-05-17,60870007,36.98332,-121.98822,2.2,5886.683282693861
2025-05-18,60870007,36.98332,-121.98822,7.0,5848.90855571253
2025-05-19,60870007,36.98332,-121.98822,6.4,5811.133828731199
2025-05-20,60870007,36.98332,-121.98822,5.7,5773.359101749868
2025-05-21,60870007,36.98332,-121.98822,7.9,5735.584374768538
2025-05-22,60870007,36.98332,-121.98822,3.8,5697.809647787206
2025-05-23,60870007,36.98332,-121.98822,5.2,5660.034920805875
2025-05-24,60870007,36.98332,-121.98822,4.4,5622.260193824544
2025-05-25,60870007,36.98332,-121.98822,2.2,5584.4854668432135
2025-05-26,60870007,36.98332,-121.98822,1.7,5574.813860271222
2025-05-27,60870007,36.98332,-121.98822,6.1,5565.142253699232
2025-05-28,60870007,36.98332,-121.98822,3.5,5555.470647127242
2025-05-29,60870007,36.98332,-121.98822,3.5,5545.799040555251
2025-05-30,60870007,36.98332,-121.98822,4.8,5536.12743398326
2025-05-31,60870007,36.98332,-121.98822,6.5,5526.45582741127
2025-06-01,60870007,36.98332,-121.98822,10.4,5516.784220839279
2025-06-03,60870007,36.98332,-121.98822,5.1,5497.441007695297
2025-06-04,60870007,36.98332,-121.98822,7.7,5487.769401123307
2025-06-05,60870007,36.98332,-121.98822,5.2,5478.097794551317
2025-06-06,60870007,36.98332,-121.98822,4.7,5468.426187979326
2025-06-07,60870007,36.98332,-121.98822,2.6,5458.754581407335
2025-06-08,60870007,36.98332,-121.98822,2.4,5449.082974835344
2025-06-09,60870007,36.98332,-121.98822,1.6,5439.411368263354
2025-06-10,60870007,36.98332,-121.98822,3.5,5429.739761691363
2025-06-11,60870007,36.98332,-121.98822,7.7,5428.94530385626
2025-06-12,60870007,36.98332,-121.98822,10.0,5428.150846021156
2025-06-13,60870007,36.98332,-121.98822,8.8,5427.356388186053
2025-06-14,60870007,36.98332,-121.98822,8.7,5426.561930350949
2025-06-15,60870007,36.98332,-121.98822,8.2,5425.767472515846
2025-06-16,60870007,36.98332,-121.98822,7.1,5424.973014680742
2025-06-17,60870007,36.98332,-121.98822,5.6,5424.178556845639
2025-06-18,60870007,36.98332,-121.98822,5.1,5423.3840990105355
2025-06-19,60870007,36.98332,-121.98822,7.2,5422.589641175432
2025-06-20,60870007,36.98332,-121.98822,5.2,5421.795183340329
2025-06-21,60870007,36.98332,-121.98822,4.4,5421.000725505225
2025-06-22,60870007,36.98332,-121.98822,6.4,5420.206267670122
2025-06-23,60870007,36.98332,-121.98822,4.5,5419.411809835018
2025-06-24,60870007,36.98332,-121.98822,2.0,5418.617351999915
2025-06-25,60870007,36.98332,-121.98822,2.7,5417.822894164811
2025-06-26,60870007,36.98332,-121.98822,3.6,5417.028436329708
2025-06-27,60870007,36.98332,-121.98822,5.2,5416.154838496429
2025-06-28,60870007,36.98332,-121.98822,3.0,5415.28124066315
2025-06-29,60870007,36.98332,-121.98822,0.6,5414.40764282987
2025-06-30,60870007,36.98332,-121.98822,0.4,5413.534044996592
2025-07-01,60870007,36.98332,-121.98822,1.2,5412.660447163313
2025-07-02,60870007,36.98332,-121.98822,2.0,5411.786849330034
2025-07-03,60870007,36.98332,-121.98822,3.9,5410.913251496755
2025-07-04,60870007,36.98332,-121.98822,3.8,5410.039653663476
